agent_id,horizon_step_0,horizon_step_1,horizon_step_2,horizon_step_3,horizon_step_4
700,"(17, 1)","(16, 0)","(16, 0)","(16, 0)","(16, 0)"
701,"(17, 1)","(12, 1)","(7, 1)","(18, 0)","(18, 0)"
702,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
703,"(17, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
704,"(15, 0)","(15, 0)","(15, 0)","(15, 0)","(15, 0)"
705,"(5, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
706,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
707,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
708,"(13, 0)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
709,"(4, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
710,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
711,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
712,"(9, 1)","(6, 0)","(6, 0)","(6, 0)","(6, 0)"
713,"(14, 0)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
714,"(10, 0)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
715,"(16, 1)","(12, 1)","(7, 1)","(18, 0)","(18, 0)"
716,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
717,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
718,"(5, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
719,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
720,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
721,"(8, 1)","(4, 1)","(0, 0)","(0, 0)","(0, 0)"
722,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
723,"(17, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
