agent_id,horizon_step_0,horizon_step_1,horizon_step_2,horizon_step_3,horizon_step_4
973,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
974,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
975,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
976,"(8, 1)","(5, 1)","(1, 0)","(1, 0)","(1, 0)"
977,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
978,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
979,"(16, 0)","(16, 0)","(16, 0)","(16, 0)","(16, 0)"
980,"(17, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
981,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
982,"(9, 1)","(6, 0)","(6, 0)","(6, 0)","(6, 0)"
983,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
984,"(14, 0)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
985,"(17, 1)","(11, 1)","(7, 1)","(18, 0)","(18, 0)"
986,"(8, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
987,"(6, 0)","(6, 0)","(6, 0)","(6, 0)","(6, 0)"
988,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
989,"(15, 0)","(15, 0)","(15, 0)","(15, 0)","(15, 0)"
990,"(17, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
991,"(8, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
992,"(9, 1)","(6, 1)","(3, 1)","(18, 0)","(18, 0)"
993,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
994,"(5, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
995,"(5, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
996,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
997,"(4, 0)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
998,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
999,"(9, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
